"","year","country_name","country_name_short","vot_cd","vot_ci","vot_ei","vot_ed","lab_left","lab_right","start_date","left_cabin","gdp_per","pol_pol","pol_viol","pub_serv_rural","urb_pop","avr_educ","age_stand_death","total_death","total_death_rate","per_foreign_pop","var_lab_right","var_lab_left","prev_left_cab","var_gdp","var_death","var_tot_death"
"1",1946,"Australia","AUS",19.65,18.5666666666667,1.5,0,9.1,14.55,1946-11-01,"1",9.26,1.667,0.667,2.5,3815.632,9.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1949,"Australia","AUS",25.05,46,0,0,13,5.25,1949-12-19,"0",9.35,1.667,0.667,2.5,3971.908,9.398,NA,NA,NA,NA,-9.3,3.9,"1",0.0899999999999999,NA,NA
"3",1951,"Australia","AUS",25.1,47.7,0,0,8.15,3.8,1951-05-11,"0",9.39,1.75,0.75,2.5,4208.62,9.509,NA,NA,NA,NA,-1.45,-4.85,"0",0.0400000000000009,NA,NA
"4",1954,"Australia","AUS",23.5,50.1,0,0,17.7,9.55,1954-07-09,"0",9.43,1.75,0.75,2.5,4762.48,9.686,NA,NA,NA,NA,5.75,9.55,"0",0.0399999999999991,NA,NA
"5",1955,"Australia","AUS",23.8,24.9,0,0,17.45,5.175,1956-01-11,"0",9.46,1.75,0.75,2.5,4947.1,9.745,NA,NA,NA,NA,-4.375,-0.25,"0",0.0300000000000011,NA,NA
"6",1958,"Australia","AUS",23.2,26.15,0,0,19.75,4.95,1958-12-10,"0",9.49,1.75,0.75,2.5,5500.96,9.922,NA,NA,NA,NA,-0.225000000000001,2.3,"0",0.0299999999999994,NA,NA
"7",1961,"Australia","AUS",21,28.35,0,0,0,8.8,1961-12-22,"0",9.53,1.75,0.75,2.625,6054.82,10.103,NA,NA,NA,NA,3.85,-19.75,"0",0.0399999999999991,NA,NA
"8",1963,"Australia","AUS",23,26.45,0,0,10.65,2.95,1963-12-18,"0",9.61,1.75,0.75,2.75,6424.06,10.229,NA,NA,NA,NA,-5.85,10.65,"0",0.0800000000000001,NA,NA
"9",1966,"Australia","AUS",24.95,23.65,0,0,15.45,2.9,1966-12-14,"0",9.7,1.75,0.75,2.75,6977.92,10.418,NA,NA,NA,NA,-0.0499999999999994,4.8,"0",0.0899999999999999,NA,NA
"10",1969,"Australia","AUS",21.7,26.5,0,0,16.7,4.7,1969-11-12,"0",9.82,2,0.75,2.75,7531.78,10.607,NA,NA,NA,NA,1.8,1.25,"0",0.120000000000001,NA,NA
"11",1972,"Australia","AUS",14.6,27.4,0,0,14.95,5.25,1972-12-19,"1",9.89,2.25,0.75,2.875,8085.64,10.926,NA,NA,NA,NA,0.55,-1.75,"0",0.0700000000000003,NA,NA
"12",1974,"Australia","AUS",16,25.35,0,0,9.7,5.33333333333333,1974-06-12,"1",9.94,2.25,0.75,3,8454.88,11.182,NA,NA,NA,NA,0.083333333333333,-5.25,"1",0.0499999999999989,NA,NA
"13",1975,"Australia","AUS",17.6666666666667,22.05,0,0,11.1,6.86666666666667,1975-12-22,"0",9.95,2.25,0.75,3,8639.5,11.31,NA,NA,NA,NA,1.53333333333333,1.4,"1",0.00999999999999979,NA,NA
"14",1977,"Australia","AUS",16.0333333333333,16.8,0,0,14.6,3,1977-12-20,"0",9.98,2.25,0.75,3,9008.74,11.566,NA,NA,NA,NA,-3.86666666666667,3.5,"0",0.0300000000000011,NA,NA
"15",1980,"Australia","AUS",23.15,25.85,0,0,0,7.8,1980-11-03,"0",10.04,2.25,0.75,3,9562.6,11.95,NA,NA,NA,NA,4.8,-14.6,"0",0.0599999999999987,NA,NA
"16",1983,"Australia","AUS",21.7,27.25,0,0,0,0.5,1983-03-11,"1",10.03,2.25,0.75,3,10116.46,12.184,NA,NA,NA,NA,-7.3,0,"0",-0.00999999999999979,NA,NA
"17",1984,"Australia","AUS",15,26.45,0,0,0,0.0666666666666667,1984-12-13,"1",10.09,2.25,0.75,3,10301.08,12.262,NA,NA,NA,NA,-0.433333333333333,0,"1",0.0600000000000005,NA,NA
"18",1987,"Australia","AUS",22.9,25.9,0,0,2.5,0.2,1987-07-24,"1",10.16,2.25,0.75,3,10854.94,12.496,NA,NA,NA,NA,0.133333333333333,2.5,"1",0.0700000000000003,NA,NA
"19",1990,"Australia","AUS",14.7333333333333,25.35,1.4,0,0.4,0.2,1990-04-04,"1",10.22,2.25,0.75,3,11408.8,12.73,2.1,369,2.17,NA,0,-2.1,"1",0.0600000000000005,NA,NA
"20",1993,"Australia","AUS",22,24.35,1.9,0,2.801,0.7075,1993-03-24,"1",10.26,2,0.75,3,11962.66,12.808,1.91,348,1.97,NA,0.5075,2.401,"1",0.0399999999999991,-0.19,-21
"21",1996,"Australia","AUS",15.7666666666667,22.8,2.9,0,3.232,4.524,1996-03-11,"0",10.37,2.25,0.75,3,12516.52,12.886,1.83,343,1.89,NA,3.8165,0.431,"1",0.109999999999999,-0.0799999999999998,-5
"22",1998,"Australia","AUS",19.6,22.6,2.6,8.4,0,0.9175,1998-10-21,"0",10.44,2.25,0.75,3,12885.76,12.938,1.8,344,1.85,NA,-3.6065,-3.232,"0",0.0700000000000003,-0.03,1
"23",2001,"Australia","AUS",14.3333333333333,21.6,5,4.3,0.958,2.04333333333333,2001-11-26,"0",10.53,2.5,0.75,3,NA,13.005,1.66,326,1.7,NA,1.12583333333333,0.958,"0",0.0899999999999999,-0.14,-18
"24",2004,"Australia","AUS",12.175,19.4,7.2,1.2,2.7465,1.0835,2004-10-26,"0",10.62,2.5,0.75,3,NA,13.05,1.46,298,1.5,NA,-0.959833333333334,1.7885,"0",0.0899999999999999,-0.2,-28
"25",2007,"Australia","AUS",14.6,43.4,7.8,0,4.2945,2.838,2007-12-03,"1",10.69,2.5,0.75,3,NA,13.095,1.43,306,1.47,NA,1.7545,1.548,"0",0.0700000000000003,-0.03,8
"26",2010,"Australia","AUS",9.174,37.99,11.76,0,2.17733333333333,0,2010-09-14,"1",10.72,2.5,0.75,3,NA,13.14,1.37,313,1.42,NA,-2.838,-2.11716666666667,"1",0.0300000000000011,-0.0599999999999998,7
"27",2013,"Australia","AUS",8.74166666666667,17.21,8.65,0,2.16525,0.35975,2013-09-18,"0",10.76,2.5,0.75,3,NA,13.14,1.27,304,1.32,NA,0.35975,-0.0120833333333334,"1",0.0399999999999991,-0.1,-9
"28",2016,"Australia","AUS",7.74166666666667,17.635,10.23,1.29,5.2204,6.25,2016-07-19,"0",10.8,2.5,0.75,3,NA,13.14,1.25,315,1.31,NA,5.89025,3.05515,"0",0.0400000000000009,-0.02,11
"29",1949,"Austria","AUT",44,38.7,5.1,11.7,3.4,0.9,1949-11-08,"0",8.57,2.222,1,3.667,2472.54,6.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
